1,Are you gripping the floor?,,,
2,Is your abdomen compressed?,,,
3,Is your abdomen collapsed?,,,
4,Is your solar plexus compressed?,,,
5,Is your solar plexus collapsed?,,,
6,Are your toes clenched?,,,
7,Are your ankles held?,,,
8,Are your feet clenched?,,,
9,Let your abdomen lengthen.,,,
10,Let your stomach fall back (especially when lying down).,,,
11,Let your stomach release.,,,
12,Let your ankles release.,,,
13,Let the balls of your feet release.,,,
14,Let your toes release.,,,
15,Let your jaw be free.,,,
16,Notice the space behind your head.,,,
17,Let your shoulders relax.,,,
18,Let your eyes be soft.,,,
