Number,Prompt,,,
1,Where are you easing a little bit?,,,
2,What is happening to the ease in your body?,,,
3,Notice the ease in your body.,,,
4,Notice a little bit of ease.,,,
5,Notice if anything is easing a little bit.,,,
6,Notice a place that feels relatively better.,,,
7,"Notice, think, notice, move, notice.",,,
8,Your feet are a long way away.,,,
9,Sharks have no shoulders.,,,
10,Legs and hips far away.,,,
11,Where are you getting a little easier,,,
12,Inhibit responding to your thoughts,,,
13,Above,,,
14,Where do you notice ease,,,
15,You can only do it right now,,,
16,Where else do you seem to be easing a bit?,,,
17,,,,
18,,,,
19,,,,
20,,,,
21,,,,
22,,,,
23,,,,
